City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Tres Arroyos,AR,2020-07-21 18:08:58,-38.37,-60.28,49.62,90,100,14.47
164,Edd,ER,2020-07-21 18:12:36,13.93,41.69,90.23,54,100,6.78
165,Maldonado,UY,2020-07-21 18:12:36,-34.67,-54.92,62.01,100,100,4.7
166,Salinopolis,BR,2020-07-21 18:12:36,-0.61,-47.36,84.31,71,0,11.03
167,Inhambane,MZ,2020-07-21 18:07:37,-23.86,35.38,67.53,65,79,9.19
168,Nisia Floresta,BR,2020-07-21 18:12:37,-6.09,-35.21,75.2,88,75,13.87
169,Provideniya,RU,2020-07-21 18:09:26,64.38,-173.3,46.38,79,98,1.57
170,Cheyenne,US,2020-07-21 18:12:37,41.14,-104.82,75.2,47,40,8.05
171,Arkhangelsk,RU,2020-07-21 18:12:37,64.54,40.54,69.8,68,20,4.47
172,Concepcion,CL,2020-07-21 18:12:37,-36.83,-73.05,55.4,76,75,11.41
173,Katsuura,JP,2020-07-21 18:12:37,35.13,140.3,77.0,92,94,3.0
174,Kudat,MY,2020-07-21 18:12:37,6.88,116.85,82.4,83,20,4.7
175,Zhaoyuan,CN,2020-07-21 18:12:37,37.36,120.4,72.0,96,98,4.36
176,Westport,US,2020-07-21 18:09:23,41.14,-73.36,91.99,45,1,10.29
177,Sitia,GR,2020-07-21 18:12:38,35.2,26.1,82.0,43,0,18.99
178,Batemans Bay,AU,2020-07-21 18:12:38,-35.72,150.18,42.01,92,0,4.0
179,Saint George,US,2020-07-21 18:12:38,37.1,-113.58,100.4,16,1,13.87
180,Mar Del Plata,AR,2020-07-21 18:12:38,-38.0,-57.56,52.0,93,90,17.22
181,Hithadhoo,MV,2020-07-21 18:12:38,-0.6,73.08,84.42,76,99,11.52
182,Emerald,AU,2020-07-21 18:12:38,-23.53,148.17,55.4,62,99,6.93
183,Biharamulo,TZ,2020-07-21 18:12:38,-2.63,31.31,71.62,45,83,2.77
184,Panama City,PA,2020-07-21 18:08:08,8.99,-79.52,84.99,83,75,9.17
185,Bambous Virieux,MU,2020-07-21 18:12:38,-20.34,57.76,69.8,52,75,8.05
186,Huarmey,PE,2020-07-21 18:10:34,-10.07,-78.15,66.96,67,53,10.74
187,Bengkulu,ID,2020-07-21 18:12:39,-3.8,102.27,77.2,86,95,5.14
188,Maracacume,BR,2020-07-21 18:12:39,-2.04,-45.96,85.68,68,41,3.6
189,Praia Da Vitoria,PT,2020-07-21 18:09:46,38.73,-27.07,77.0,61,75,5.68
190,Puro,PH,2020-07-21 18:12:39,12.48,123.38,80.71,81,90,3.78
191,Altay,CN,2020-07-21 18:12:39,47.87,88.12,61.56,76,100,0.6
192,Basoko,CD,2020-07-21 18:12:39,1.24,23.62,77.41,68,97,0.4
193,Deputatskiy,RU,2020-07-21 18:12:06,69.3,139.9,65.28,73,100,1.86
194,Marsa Matruh,EG,2020-07-21 18:12:39,31.35,27.25,77.0,83,20,12.75
195,Atherton,GB,2020-07-21 18:12:05,53.52,-2.49,66.0,51,71,7.0
196,Mosquera,CO,2020-07-21 18:12:40,4.71,-74.23,66.2,55,75,2.24
197,Bac Lieu,VN,2020-07-21 18:12:40,9.29,105.72,81.86,76,36,3.91
198,Fort-Shevchenko,KZ,2020-07-21 18:12:40,44.51,50.26,82.65,69,97,13.24
199,Tucuman,AR,2020-07-21 18:12:40,-26.82,-65.22,60.8,63,90,3.36
200,Klyuchevskiy,RU,2020-07-21 18:12:40,53.53,119.45,46.13,92,39,3.56
201,Teya,RU,2020-07-21 18:12:37,60.38,92.63,51.53,92,100,2.04
202,Barcelos,PT,2020-07-21 18:12:40,41.54,-8.62,87.01,65,20,6.93
203,Esmeraldas,BR,2020-07-21 18:12:40,-19.76,-44.31,82.4,41,0,5.82
204,Lander,US,2020-07-21 18:12:40,42.83,-108.73,75.2,38,1,3.36
205,Calvinia,ZA,2020-07-21 18:12:40,-31.47,19.78,57.7,34,0,4.56
206,Seoul,KR,2020-07-21 18:11:34,37.57,126.98,73.4,88,90,0.85
207,Tadine,NC,2020-07-21 18:12:41,-21.55,167.88,66.61,70,74,12.73
208,Nara,JP,2020-07-21 18:12:41,34.69,135.8,82.0,39,27,1.25
209,Dole,FR,2020-07-21 18:12:41,47.08,5.5,84.2,39,20,10.29
210,Imperial,US,2020-07-21 18:12:41,33.03,-115.42,98.01,46,1,6.93
211,Qaqortoq,GL,2020-07-21 18:12:41,60.72,-46.03,68.0,40,40,6.93
212,Prince Rupert,CA,2020-07-21 18:09:56,54.32,-130.32,53.6,100,90,5.82
213,Spirit River,CA,2020-07-21 18:12:41,55.78,-118.84,69.8,64,75,10.29
214,San Patricio,MX,2020-07-21 18:12:42,19.22,-104.7,91.4,70,5,9.17
215,Lichinga,MZ,2020-07-21 18:08:18,-13.31,35.24,56.07,74,53,4.59
216,Kaitangata,NZ,2020-07-21 18:12:42,-46.28,169.85,41.0,64,87,5.01
217,Yar-Sale,RU,2020-07-21 18:12:42,66.83,70.83,46.81,66,29,3.94
218,Qitaihe,CN,2020-07-21 18:12:42,45.8,130.85,60.42,71,0,3.09
219,Kieta,PG,2020-07-21 18:12:42,-6.22,155.63,77.59,80,33,4.25
220,Tsuruoka,JP,2020-07-21 18:12:42,38.72,139.82,72.75,92,90,5.82
221,Bosaso,SO,2020-07-21 18:12:42,11.28,49.18,87.26,63,31,15.23
222,Sosnovka,RU,2020-07-21 18:12:43,56.26,51.28,62.6,92,76,4.25
223,Chuy,UY,2020-07-21 18:12:43,-33.7,-53.46,70.2,82,100,5.26
224,Dhidhdhoo,MV,2020-07-21 18:12:43,6.88,73.1,83.32,74,99,16.93
225,Tanete,ID,2020-07-21 18:12:43,-3.94,119.78,74.07,94,89,6.33
226,San Andres,CO,2020-07-21 18:12:43,12.58,-81.7,87.8,74,75,9.17
227,Tigil,RU,2020-07-21 18:12:43,57.8,158.67,44.98,84,0,2.44
228,Narok,KE,2020-07-21 18:09:05,-1.08,35.86,61.05,68,96,2.1
229,Necochea,AR,2020-07-21 18:10:56,-38.55,-58.74,50.0,97,100,11.99
230,Primo Tapia,MX,2020-07-21 18:12:44,32.22,-116.92,75.0,68,5,16.11
231,Sao Filipe,CV,2020-07-21 18:12:33,14.9,-24.5,78.19,75,39,6.13
232,Mount Gambier,AU,2020-07-21 18:12:44,-37.83,140.77,46.4,100,90,4.7
233,Viedma,AR,2020-07-21 18:08:41,-40.81,-63.0,48.0,90,99,7.0
234,Vao,NC,2020-07-21 18:12:44,-22.67,167.48,69.03,71,86,11.86
235,Kamenka,RU,2020-07-21 18:12:44,51.32,42.77,72.0,53,33,5.82
236,Sao Felix Do Xingu,BR,2020-07-21 18:12:44,-6.64,-51.99,94.87,26,17,4.5
237,Luderitz,NA,2020-07-21 18:12:44,-26.65,15.16,71.6,37,0,5.82
238,Suamico,US,2020-07-21 18:12:44,44.63,-88.04,75.2,57,1,9.17
239,Kampot,KH,2020-07-21 18:12:45,10.62,104.18,78.8,94,20,3.36
240,Podor,MR,2020-07-21 18:12:45,16.65,-14.96,96.8,53,75,3.71
241,Bellinzona,CH,2020-07-21 18:12:45,46.19,9.02,82.4,83,20,1.54
242,Boa Vista,BR,2020-07-21 18:12:45,2.82,-60.67,80.6,74,75,5.82
243,Dutse,NG,2020-07-21 18:12:45,11.76,9.34,85.37,50,21,4.23
244,Bambanglipuro,ID,2020-07-21 18:12:45,-7.95,110.28,75.9,87,85,6.58
245,Beberibe,BR,2020-07-21 18:12:45,-4.18,-38.13,84.2,62,20,14.99
246,Namatanai,PG,2020-07-21 18:10:27,-3.67,152.43,78.93,85,83,5.66
247,Vestmanna,FO,2020-07-21 18:11:41,62.16,-7.17,53.6,81,8,11.41
248,Abashiri,JP,2020-07-21 18:12:46,44.02,144.27,62.42,94,100,14.27
249,Aklavik,CA,2020-07-21 18:12:46,68.22,-135.01,44.6,87,90,3.36
250,Birin,NP,2020-07-21 18:12:46,26.89,88.07,63.36,100,78,1.95
251,Grafton,US,2020-07-21 18:12:46,42.21,-71.69,89.01,48,20,12.75
252,Talant,FR,2020-07-21 18:12:46,47.34,5.01,84.2,32,20,6.93
253,Tual,ID,2020-07-21 18:12:46,-5.67,132.75,78.57,86,77,17.34
254,Diadi,PH,2020-07-21 18:12:47,16.66,121.37,73.81,89,100,1.61
255,Cayenne,GF,2020-07-21 18:12:47,4.93,-52.33,87.8,58,75,8.05
256,Montepuez,MZ,2020-07-21 18:12:47,-13.13,39.0,71.24,43,96,7.38
257,Lashio,MM,2020-07-21 18:12:47,22.93,97.75,68.11,99,100,0.96
258,Lakes Entrance,AU,2020-07-21 18:12:47,-37.88,147.98,43.0,92,16,10.16
259,Roma,US,2020-07-21 18:10:05,43.21,-75.46,80.01,57,40,4.7
260,Dalvik,IS,2020-07-21 18:12:47,65.97,-18.53,53.6,71,75,13.87
261,Cuamba,MZ,2020-07-21 18:12:48,-14.8,36.54,67.5,61,86,7.74
262,Warri,NG,2020-07-21 18:12:48,5.52,5.75,75.81,90,92,3.96
263,Faya,SA,2020-07-21 18:12:48,18.39,42.45,66.2,82,75,5.82
264,Poronaysk,RU,2020-07-21 18:12:48,49.22,143.12,54.63,97,100,5.64
265,Filingue,NE,2020-07-21 18:12:48,14.35,3.32,93.78,37,64,0.63
266,Andijon,UZ,2020-07-21 18:12:48,40.78,72.34,68.0,60,75,8.95
267,Posse,BR,2020-07-21 18:12:48,-14.09,-46.37,83.5,31,0,8.88
