City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
272,conakry,GN,82.4,scattered clouds,9.54,-13.68,Riviera Royal Hotel
273,chowchilla,US,82.99,clear sky,37.12,-120.26,Days Inn by Wyndham Chowchilla Gateway to Yosemite
274,shieli,KZ,78.4,clear sky,44.17,66.75,Gostinitsa Aybek Shieli
276,sur,OM,84.42,overcast clouds,22.57,59.53,Sur Plaza Hotel
278,sao joao da barra,BR,80.6,clear sky,-21.64,-41.05,Pousada Porto De Canoas
279,nova granada,BR,82.4,clear sky,-20.53,-49.31,Hotel Granada
280,bardiyah,LY,74.1,clear sky,31.76,25.09,بورتو بردية
281,cueramaro,MX,75.2,broken clouds,20.62,-101.72,Aguprieta sonora
282,marshfield,US,77.0,overcast clouds,44.67,-90.17,Holiday Inn Conference Ctr Marshfield
287,north bend,US,69.01,scattered clouds,43.41,-124.22,Red Lion Hotel Coos Bay
288,cherskiy,RU,67.03,scattered clouds,68.75,161.3,Gostinitsa
289,manono,CD,75.27,few clouds,-7.3,27.42,Hotel hewa bora
290,ostrovnoy,RU,62.56,clear sky,68.05,39.51,
291,marquette,US,71.01,overcast clouds,46.53,-87.63,Al Quaal Lodge
292,iquique,CL,64.4,scattered clouds,-20.22,-70.14,Backpacker`s Hostel Iquique
294,pacific grove,US,71.01,scattered clouds,36.62,-121.92,Lovers Point Inn
295,nalut,LY,85.53,clear sky,30.33,10.85,
296,quchan,IR,76.55,clear sky,37.11,58.51,Rayehe perfume shop
297,inhambane,MZ,69.8,broken clouds,-23.86,35.38,Oceano
298,sterling,US,97.0,scattered clouds,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
299,shahreza,IR,72.32,clear sky,32.03,51.88,خوابگاه
300,polson,US,77.0,clear sky,47.69,-114.16,Americas Best Value Port Polson Inn
302,alliance,US,86.0,broken clouds,40.92,-81.11,Holiday Inn Express & Suites Alliance
303,mahebourg,MU,69.8,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
304,chicama,PE,72.5,few clouds,-7.84,-79.15,Hospedaje Punta Cana PERU
305,champerico,GT,89.6,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
306,coahuayana,MX,82.4,scattered clouds,18.73,-103.68,Hotel Los Arcos
307,conceicao da barra,BR,75.18,clear sky,-18.59,-39.73,Cricaré Praia Hotel
308,umea,SE,60.8,clear sky,63.83,20.26,Hotel Avenue | ProfilHotels
309,zhezkazgan,KZ,72.82,clear sky,47.8,67.71,Kvartiry Posutochno.
310,lazaro cardenas,MX,86.47,scattered clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
311,mukhen,RU,62.92,clear sky,48.1,136.1,
312,juneau,US,60.8,overcast clouds,58.3,-134.42,"Baranof Downtown, BW Signature Collection"
316,chakwal,PK,73.4,broken clouds,32.93,72.86,Zafar Hotel
318,ouadda,CF,69.13,broken clouds,8.08,22.4,
319,shubarkuduk,KZ,80.74,broken clouds,49.14,56.49,
320,alamosa,US,78.8,clear sky,37.47,-105.87,Best Western Alamosa Inn
322,yangjiang,CN,79.84,scattered clouds,21.85,111.97,HUALUXE Yangjiang City Center
323,makokou,GA,70.65,broken clouds,0.57,12.86,WAMY RESIDENCE HOTEL
324,batagay-alyta,RU,61.38,scattered clouds,67.8,130.41,
326,pandan,PH,80.06,overcast clouds,14.05,124.17,Bonifacio Lodge
328,barber,CW,87.8,scattered clouds,12.28,-69.07,Cats & Pets
331,kralendijk,BQ,91.4,scattered clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
332,northam,GB,66.0,clear sky,51.03,-4.22,Durrant House Hotel
334,chabahar,IR,87.8,haze,25.29,60.64,هتل گدروشیا
336,bridgewater,CA,89.01,scattered clouds,44.38,-64.52,Comfort Inn
338,nagato,JP,78.01,light intensity shower rain,34.38,131.2,いそう庵
339,lisakovsk,KZ,65.75,overcast clouds,52.54,62.49,"Gostinitsa ""Kontinent"""
343,lompoc,US,62.01,broken clouds,34.64,-120.46,Holiday Inn Express Lompoc
344,san cristobal,VE,93.2,scattered clouds,7.77,-72.22,Pirineos
345,kalmunai,LK,81.3,overcast clouds,7.42,81.82,VS Villa
347,port hardy,CA,60.8,light rain,50.7,-127.42,Airport Inn
348,velikiy ustyug,RU,62.53,overcast clouds,60.76,46.31,Dvina
349,lima,PE,64.4,broken clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
352,le mars,US,81.0,broken clouds,42.79,-96.17,Holiday Inn Express & Suites Le Mars
354,farafangana,MG,66.13,scattered clouds,-22.82,47.83,Austral Hotel
355,kapoeta,SS,77.49,overcast clouds,4.77,33.59,Eastgate Hotel
358,namatanai,PG,78.76,broken clouds,-3.67,152.43,Namatanai Hotel
360,staryy oskol,RU,65.75,overcast clouds,51.3,37.84,Guest House Stary Oskol
361,ribeira brava,PT,72.0,clear sky,32.65,-17.07,Hotel do Campo
362,killybegs,IE,60.8,overcast clouds,54.63,-8.45,Tara Hotel
364,ahuimanu,US,80.6,few clouds,21.44,-157.84,Paradise Bay Resort
365,sisophon,KH,78.33,overcast clouds,13.59,102.97,Pyramid Hotel
366,rocha,UY,67.37,overcast clouds,-34.48,-54.33,Beleza Pura B&B
367,minab,IR,93.2,few clouds,27.15,57.08,فروشگاه موبایل ترکمانی
368,vila franca do campo,PT,69.8,scattered clouds,37.72,-25.43,Pestana Bahia Praia
369,kodinsk,RU,60.66,overcast clouds,58.69,99.18,
370,quatre cocos,MU,69.8,broken clouds,-20.21,57.76,Veranda Palmar Beach Hotel
372,kysyl-syr,RU,60.37,broken clouds,63.9,122.76,
374,miles city,US,80.6,clear sky,46.41,-105.84,FairBridge Inn & Suites Miles City
375,derzhavinsk,KZ,68.52,overcast clouds,51.1,66.32,Ooo.khim Baza
376,gerash,IR,96.8,clear sky,27.67,54.14,Chelpasin
377,george town,MY,77.0,scattered clouds,5.41,100.34,Cititel Penang
378,benjamin hill,MX,89.01,overcast clouds,30.17,-111.1,Luis Guillermo García Medina
379,port hueneme,US,68.0,scattered clouds,34.15,-119.2,Hampton Inn Channel Islands Harbor
380,eldorado,BR,82.15,scattered clouds,-23.79,-54.28,Villa Verde Hotel
381,appleton,US,75.99,scattered clouds,44.26,-88.42,La Quinta Inn & Suites by Wyndham Appleton College Avenue
384,jalu,LY,82.9,clear sky,29.03,21.55,Jalu Hotel
386,hinton,CA,73.56,overcast clouds,53.4,-117.59,Econo Lodge & Suites
387,ambanja,MG,69.01,clear sky,-13.68,48.45,Hotel Marrakech
388,havre-saint-pierre,CA,66.2,clear sky,50.23,-63.6,Auberge Niapiskau
390,pierre,US,78.01,few clouds,44.37,-100.35,Ramkota Hotel
391,marsh harbour,BS,83.98,overcast clouds,26.54,-77.06,Abaco Beach Resort
392,gidam,IN,78.04,overcast clouds,18.98,81.4,Dhanshree Lodge And DormItory
393,cortez,US,89.6,clear sky,37.35,-108.59,Sand Canyon National 9 Inn
394,katsuura,JP,77.0,overcast clouds,35.13,140.3,Katsuura Hotel Mikazuki
395,edea,CM,77.0,broken clouds,3.8,10.13,Micotel Hotel
396,rolla,US,87.8,clear sky,37.95,-91.77,Holiday Inn Express & Suites Rolla - Univ of Missouri S&T
397,borger,NL,64.0,clear sky,52.92,6.79,Roompot Bospark Lunsbergen
398,port blair,IN,81.43,overcast clouds,11.67,92.75,Fortune Resort Bay Island
399,praxedis guerrero,MX,91.99,few clouds,31.37,-106.02,
400,saint anthony,US,75.2,overcast clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
404,tadine,NC,66.87,broken clouds,-21.55,167.88,
405,zhuanghe,CN,73.0,clear sky,39.7,122.99,Hanting Express Dalian Zhuanghe Qiansheng
407,san rafael del sur,NI,84.2,broken clouds,11.85,-86.44,Hospedaje El Chino
408,kushima,JP,78.01,overcast clouds,31.46,131.23,Hanaoka
411,salto,UY,78.8,overcast clouds,-31.38,-57.97,Gran Hotel Uruguay
412,mandera,KE,82.27,scattered clouds,3.94,41.87,Kornesh Hotel and Lodging
413,bocaiuva,BR,80.6,clear sky,-17.11,-43.81,Hotel Maxim's
415,islamkot,PK,86.49,overcast clouds,24.7,70.18,Ghazi Guest House
416,broome,US,84.0,few clouds,42.25,-75.83,Chenango Valley State Park
419,loei,TH,65.93,overcast clouds,17.42,101.5,ไร่สานตม บ้านภูล้อม
420,bairiki,KI,80.6,broken clouds,1.33,172.98,Tarawa Boutique Hotel
422,angoche,MZ,70.02,clear sky,-16.23,39.91,Guest House HESADA
423,shelburne,CA,75.99,few clouds,44.08,-80.2,The Retreat at the Farm
424,guerrero negro,MX,77.14,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
426,merauke,ID,75.09,broken clouds,-8.47,140.33,
427,santa maria,BR,86.0,overcast clouds,-29.68,-53.81,Hotel Morotin
428,soyo,AO,71.89,clear sky,-6.13,12.37,Hotel Mpampa
430,vila velha,BR,78.01,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
431,meybod,IR,87.8,clear sky,32.25,54.02,Traditional Hotel Restaurant Haji Malek
433,jingdezhen,CN,76.12,overcast clouds,29.29,117.21,Garden Hotel
434,ban tak,TH,76.44,overcast clouds,17.04,99.08,NIDA Rooms Legend BanTak 83
435,pishin,PK,73.78,clear sky,30.58,67.0,Iqra Printing Press
438,bandarbeyla,SO,78.75,clear sky,9.49,50.81,REER XOOSHLE GROUP
439,bonavista,CA,69.19,overcast clouds,48.65,-53.11,Abbott's Bed & Breakfast
440,platanos,GR,78.8,clear sky,37.67,21.62,Hotel Kronio
441,eregli,TR,76.21,clear sky,37.51,34.05,Hotel Fuat Bey
443,kampene,CD,75.09,few clouds,-3.6,26.67,
444,kutahya,TR,68.0,clear sky,39.42,29.98,Grand Çınar Hotel
445,ylojarvi,FI,64.4,clear sky,61.56,23.6,Hotel Lamminpää
449,hami,CN,75.45,clear sky,42.8,93.45,Laoyutang Resort
451,sao paulo de olivenca,BR,92.25,scattered clouds,-3.38,-68.87,
455,beyneu,KZ,93.9,overcast clouds,45.32,55.2,NUR
457,usinsk,RU,60.78,clear sky,65.99,57.53,Dobro Pozhalovaty
458,smithers,CA,64.4,broken clouds,54.78,-127.17,Prestige Hudson Bay Lodge
459,mujiayingzi,CN,66.36,overcast clouds,42.12,118.78,Jinjiang Hotel
460,erzin,TR,82.99,clear sky,36.96,36.2,Artemis Otel
461,abonnema,NG,75.2,light rain,4.71,6.79,Corper's Lodge Obonoma
463,griffin,US,96.01,scattered clouds,33.25,-84.26,Americas Best Value Inn & Suites Griffin
464,whithorn,JM,87.8,thunderstorm,18.26,-78.04,Sunset Heal
465,chifeng,CN,67.6,overcast clouds,42.27,118.96,Junyu Tiancheng Hotel
466,flin flon,CA,73.4,few clouds,54.77,-101.86,Victoria Inn Flin Flon
469,verkhnetulomskiy,RU,71.6,overcast clouds,68.61,31.8,Отель Уют
472,nicolas bravo,MX,87.8,scattered clouds,18.45,-88.92,
473,alghero,IT,82.4,clear sky,40.56,8.32,Hotel Carlos V
474,naron,ES,71.01,clear sky,43.52,-8.15,Marcial
475,pasni,PK,85.01,overcast clouds,25.26,63.47,3G hotel pasni
476,tekirdag,TR,69.8,clear sky,40.98,27.51,Tekirdağ Yat Hotel
478,cabo san lucas,MX,91.0,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
481,kandri,IN,78.8,mist,21.42,79.27,OYO 69410 Sip & Bite Restaurant N Lodging
484,manaure,CO,91.87,few clouds,11.78,-72.44,Del mar vendra
485,meulaboh,ID,75.49,overcast clouds,4.14,96.13,Kost Pria
486,iquitos,PE,86.0,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
