City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
298,sterling,US,39.01,-77.43,97.0,37,40,5.82,scattered clouds,0.0,0
299,shahreza,IR,32.03,51.88,72.32,20,0,5.53,clear sky,0.0,0
300,polson,US,47.69,-114.16,77.0,58,0,2.89,clear sky,0.0,0
301,odesskoye,RU,54.21,72.97,58.91,84,32,8.08,scattered clouds,0.0,0
302,alliance,US,40.92,-81.11,86.0,70,53,3.0,broken clouds,0.0,0
303,mahebourg,MU,-20.41,57.7,69.8,52,75,8.05,broken clouds,0.0,0
304,chicama,PE,-7.84,-79.15,72.5,56,23,11.92,few clouds,0.0,0
305,champerico,GT,14.3,-91.92,89.6,62,75,6.93,broken clouds,0.0,0
306,coahuayana,MX,18.73,-103.68,82.4,74,40,6.49,scattered clouds,0.0,0
307,conceicao da barra,BR,-18.59,-39.73,75.18,73,3,7.96,clear sky,0.0,0
308,umea,SE,63.83,20.26,60.8,67,0,9.17,clear sky,0.0,0
309,zhezkazgan,KZ,47.8,67.71,72.82,53,4,6.85,clear sky,0.0,0
310,lazaro cardenas,MX,17.96,-102.2,86.47,71,28,6.15,scattered clouds,0.0,0
311,mukhen,RU,48.1,136.1,62.92,93,0,4.29,clear sky,0.0,0
312,juneau,US,58.3,-134.42,60.8,72,90,3.36,overcast clouds,0.0,0
313,biskamzha,RU,53.45,89.53,57.06,88,100,2.39,overcast clouds,0.0,0
314,vestmannaeyjar,IS,63.44,-20.27,51.8,81,40,8.05,scattered clouds,0.0,0
315,charlestown,AU,-32.95,151.67,50.0,86,1,4.9,clear sky,0.0,0
316,chakwal,PK,32.93,72.86,73.4,88,69,4.7,broken clouds,0.0,0
317,ust-uda,RU,54.17,103.03,55.78,78,12,2.39,few clouds,0.0,0
